efo_label	efo_id
abnormal paneth cell measurement	EFO_0007963
brain measurement	EFO_0004464
cranial vault morphology measurement	EFO_0009278
bone measurement	EFO_0004512
joint damage measurement	EFO_0005413
joint hypermobility measurement	EFO_0007905
cardiovascular measurement	EFO_0004298
blood pressure change measurement	EFO_0006943
carotid artery measurement	EFO_0007716
coronary atherosclerosis measurement	EFO_0007938
cardiac stress biomarker measurement	EFO_0008471
autoimmune disease biomarker	EFO_0006846
antibody measurement	EFO_0004556
inflammatory biomarker measurement	EFO_0004872
CCL5 measurement	EFO_0005117
cognitive function measurement	EFO_0008354
nervous system measurement	EFO_0005052
neurodevelopmental measurement	EFO_0008245
neuroimaging measurement	EFO_0004346
mitochondrial DNA measurement	EFO_0006312
metabolic rate measurement	EFO_0005115
energy expenditure measurement	EFO_0008005
pulmonary function measurement	EFO_0003892
respiratory disease biomarker	EFO_0006841
bowel opening frequency	EFO_0600084
intestinal permeability measurement	EFO_0011031
hormone measurement	EFO_0004730
insulin like growth factor measurement	EFO_0004628
thyroid volume	EFO_0004865
skin aging measurement	EFO_0008006
skin barrier function measurement	EFO_0007891
skin pigmentation measurement	EFO_0007009
skin roughness measurement	EFO_0600094
hematological measurement	EFO_0004503
blood group	EFO_0600058
HbA1c measurement	EFO_0004541
diet measurement	EFO_0008111
vitamin measurement	EFO_0004729
cognitive impairment measurement	EFO_0007998
arthritis disease activity score measurement	EFO_0009435
male reproductive system measurement	EFO_0010759
fertility measurement	EFO_0006923
uterine fibroid measurement	EFO_0009410
urine volume measurement	EFO_0010604
urinary pH measurement	EFO_0010136
urinary arsenic measurement	EFO_0004880
periodontal measurement	EFO_0007780
hearing measurement	EFO_0007616
tonsillectomy risk measurement	EFO_0007924
delivery measurement	EFO_0006922
birth rate	EFO_0004804
gestational weight gain measurement	EFO_0008435
